the, 8, 1; 7; 33; 37; 42; 71; 78; 84
c, 4, 16; 18; 23; 26
loop, 4, 48; 49; 50; 51
run, 4, 70; 73; 74; 75
art, 3, 8; 79; 85
is, 3, 3; 21; 60
of, 3, 6; 77; 83
state, 3, 5; 76; 82
and, 2, 17; 55
filter, 2, 54; 58
it, 2, 22; 46
pass, 2, 53; 57
re, 2, 40; 44
read, 2, 41; 45
sharp, 2, 19; 24
testing, 2, 62; 66
1, 1, 67
2, 1, 68
3, 1, 69
a, 1, 4
about, 1, 32
again, 1, 47
code, 1, 72
crucial, 1, 61
datasheet, 1, 43
debated, 1, 29
design, 1, 59
don't, 1, 30
embedded, 1, 11
engineers, 1, 13
focus, 1, 35
hardware, 1, 34
high, 1, 52
love, 1, 14
low, 1, 56
microcontroller, 1, 9
often, 1, 28
on, 1, 36
one, 1, 63
or, 1, 25
series, 1, 10
soft, 1, 38
stm32, 1, 2
systems, 1, 12
three, 1, 65
truly, 1, 81
two, 1, 64
using, 1, 15
wait, 1, 20
ware, 1, 39
worry, 1, 31
yes, 1, 80
ıt's, 1, 27
